Lp.;Czas;Napięcie [V];Prąd [A];ADC Napięcia;ADC Prądu
1;15:44:44.836;0,70;0,00;00031;00008
2;15:44:44.838;0,70;0,00;00031;00008
3;15:44:45.183;0,70;0,00;00031;00008
4;15:44:45.183;0,70;0,00;00031;00008
5;15:44:45.528;0,70;0,00;00031;00008
6;15:44:45.528;0,70;0,00;00031;00008
7;15:44:45.868;0,70;0,00;00031;00008
8;15:44:45.868;0,70;0,00;00031;00008
9;15:44:46.219;0,70;0,00;00031;00008
10;15:44:46.219;0,70;0,00;00031;00008
11;15:44:46.556;0,70;0,00;00031;00008
12;15:44:46.556;0,70;0,00;00031;00008
13;15:44:46.906;0,70;0,00;00031;00008
14;15:44:46.906;0,70;0,00;00031;00008
15;15:44:47.249;0,70;0,00;00031;00008
16;15:44:47.249;0,70;0,00;00031;00008
17;15:44:47.590;0,70;0,00;00031;00008
18;15:44:47.590;0,70;0,00;00031;00008
19;15:44:49.162;0,70;0,00;00031;00008
20;15:44:49.162;0,70;0,00;00031;00008
21;15:44:49.308;0,70;0,00;00031;00008
22;15:44:49.308;0,70;0,00;00031;00008
23;15:44:49.655;0,70;0,00;00031;00008
24;15:44:49.655;0,70;0,00;00031;00008
25;15:44:50.000;0,70;0,00;00031;00008
26;15:44:50.000;0,70;0,00;00031;00008
27;15:44:50.342;0,70;0,00;00031;00008
28;15:44:50.342;0,70;0,00;00031;00008
29;15:44:52.162;0,70;0,00;00031;00008
30;15:44:52.162;0,70;0,00;00031;00008
31;15:44:52.405;0,70;0,00;00031;00008
32;15:44:52.405;0,70;0,00;00031;00008
33;15:44:52.751;0,70;0,00;00031;00008
34;15:44:52.751;0,70;0,00;00031;00008
35;15:44:53.088;0,70;0,00;00031;00008
36;15:44:53.088;0,70;0,00;00031;00008
37;15:44:53.432;0,70;0,00;00031;00008
38;15:44:53.432;0,70;0,00;00031;00008
39;15:44:53.779;0,70;0,00;00031;00008
40;15:44:53.779;0,70;0,00;00031;00008
41;15:44:54.119;0,70;0,00;00031;00008
42;15:44:54.119;0,70;0,00;00031;00008
43;15:44:54.474;0,70;0,00;00031;00008
44;15:44:54.474;0,70;0,00;00031;00008
45;15:44:54.807;0,70;0,00;00031;00008
46;15:44:54.807;0,70;0,00;00031;00008
47;15:44:55.154;0,70;0,00;00031;00008
48;15:44:55.154;0,70;0,00;00031;00008
49;15:44:55.496;0,70;0,00;00031;00008
50;15:44:55.496;0,70;0,00;00031;00008
51;15:44:55.847;0,70;0,00;00031;00008
52;15:44:55.848;0,70;0,00;00031;00008
53;15:44:56.181;0,70;0,00;00031;00008
54;15:44:56.181;0,70;0,00;00031;00008
55;15:44:56.528;0,70;0,00;00031;00008
56;15:44:56.528;0,70;0,00;00031;00008
57;15:44:56.868;0,70;0,00;00031;00008
58;15:44:56.868;0,70;0,00;00031;00008
59;15:44:57.218;0,70;0,00;00031;00008
60;15:44:57.218;0,70;0,00;00031;00008
61;15:44:57.560;0,70;0,00;00031;00008
62;15:44:57.560;0,70;0,00;00031;00008
63;15:44:57.906;0,70;0,00;00031;00008
64;15:44:57.930;0,70;0,00;00031;00008
65;15:44:58.263;0,70;0,00;00031;00008
66;15:44:58.263;0,70;0,00;00031;00008
67;15:44:58.608;0,70;0,00;00031;00008
68;15:44:58.608;0,70;0,00;00031;00008
69;15:44:58.958;0,70;0,00;00031;00008
70;15:44:58.958;0,70;0,00;00031;00008
71;15:44:59.291;0,70;0,00;00031;00008
72;15:44:59.291;0,70;0,00;00031;00008
73;15:44:59.636;0,70;0,00;00031;00008
74;15:44:59.636;0,70;0,00;00031;00008
75;15:44:59.985;0,70;0,00;00031;00008
76;15:44:59.985;0,70;0,00;00031;00008
77;15:45:00.330;0,70;0,00;00031;00008
78;15:45:00.330;0,70;0,00;00031;00008
79;15:45:00.665;0,70;0,00;00031;00008
80;15:45:00.665;0,70;0,00;00031;00008
81;15:45:01.013;0,70;0,00;00031;00008
82;15:45:01.013;0,70;0,00;00031;00008
83;15:45:01.360;0,70;0,00;00031;00008
84;15:45:01.360;0,70;0,00;00031;00008
85;15:45:01.707;0,70;0,00;00031;00008
86;15:45:01.707;0,70;0,00;00031;00008
87;15:45:02.041;0,70;0,00;00031;00008
88;15:45:02.041;0,70;0,00;00031;00008
89;15:45:02.388;0,70;0,00;00031;00008
90;15:45:02.388;0,70;0,00;00031;00008
91;15:45:02.729;0,70;0,00;00031;00008
92;15:45:02.729;0,70;0,00;00031;00008
93;15:45:03.082;0,70;0,00;00031;00008
94;15:45:03.082;0,70;0,00;00031;00008
95;15:45:03.415;0,70;0,00;00031;00008
96;15:45:03.415;0,70;0,00;00031;00008
